Annual_Income,Employment_Length,Debt_to_Income,Credit_Score,Loan_Amount,Loan_Term,Home_Ownership,Default
98890.3,25,33.22,629.0,40900,60,MORTGAGE,0
71741.02,16,9.97,740.0,9700,36,OWN,0
43366.4,9,16.21,695.0,29200,36,MORTGAGE,0
71732.4,1,3.69,653.0,34100,36,RENT,0
129187.26,23,27.32,690.0,42900,36,MORTGAGE,0
58811.16,10,18.72,652.0,2600,36,RENT,0
130917.39,23,28.83,636.0,44300,60,RENT,0
16157.3,34,27.01,678.0,27700,36,MORTGAGE,1
90305.28,22,3.59,762.0,27100,36,MORTGAGE,0
62537.62,31,21.85,716.0,5300,36,RENT,0
51559.74,22,9.09,679.0,21800,36,MORTGAGE,0
62685.18,33,21.41,655.0,19600,36,MORTGAGE,0
22163.8,40,14.14,517.0,47000,60,MORTGAGE,1
53646.1,18,38.34,746.0,27100,36,RENT,0
71578.95,1,46.63,640.0,3300,36,MORTGAGE,1
125360.27,1,17.55,726.0,19400,36,RENT,0
46206.0,14,20.99,712.0,25100,60,MORTGAGE,0
39964.75,20,0.0,708.0,13900,36,MORTGAGE,0
46589.08,34,3.56,595.0,9100,60,RENT,0
94627.28,4,23.86,728.0,1200,36,MORTGAGE,0
70571.07,26,19.68,650.0,15200,36,MORTGAGE,0
45941.31,23,24.21,660.0,43900,36,MORTGAGE,0
77391.61,6,12.02,669.0,45500,36,MORTGAGE,0
62852.05,5,23.03,640.0,27300,36,MORTGAGE,0
97180.22,32,0.0,665.0,47200,36,OWN,0
42149.3,16,13.91,670.0,42600,36,MORTGAGE,0
50826.29,29,24.67,620.0,19500,36,OWN,0
49214.62,7,36.97,584.0,2400,36,MORTGAGE,0
28803.22,39,18.83,700.0,23700,36,MORTGAGE,0
69429.01,6,25.9,687.0,40300,36,RENT,0
68222.36,5,13.31,579.0,33700,36,MORTGAGE,0
60027.42,3,24.44,690.0,7200,60,OWN,0
53247.52,0,15.06,659.0,9300,36,RENT,1
29504.99,14,39.55,591.0,16700,36,MORTGAGE,0
48517.38,30,16.71,639.0,5800,60,RENT,1
50445.19,24,18.3,685.0,36000,36,MORTGAGE,0
40089.16,32,27.74,612.0,16000,60,MORTGAGE,1
55235.28,34,25.02,618.0,38100,36,MORTGAGE,0
73278.71,4,16.35,646.0,35000,36,MORTGAGE,0
153751.5,4,24.1,642.0,23800,36,MORTGAGE,0
65335.38,35,9.45,617.0,14800,36,OWN,0
68102.91,16,22.26,617.0,17800,36,RENT,1
57686.42,13,25.49,691.0,42600,36,MORTGAGE,0
22939.47,28,15.77,605.0,18200,36,RENT,0
59085.63,7,16.3,724.0,27900,36,RENT,0
61704.68,33,13.7,778.0,25600,60,MORTGAGE,0
205175.51,39,5.64,686.0,3400,36,MORTGAGE,0
54383.69,0,24.15,769.0,1000,36,RENT,0
69617.67,28,15.25,700.0,16100,36,MORTGAGE,0
58843.94,35,25.56,678.0,22200,36,MORTGAGE,0
33378.29,36,18.18,655.0,40100,36,MORTGAGE,0
106023.01,28,26.15,584.0,46000,60,RENT,0
87200.6,4,2.86,655.0,26600,60,MORTGAGE,0
88922.1,31,8.54,622.0,13300,60,OWN,0
37998.66,23,11.58,705.0,24900,36,MORTGAGE,0
120740.29,18,31.97,770.0,18500,36,RENT,0
29705.11,11,24.03,667.0,48000,36,MORTGAGE,0
80292.26,0,17.36,688.0,1500,36,OWN,0
179015.52,6,15.22,740.0,39300,60,MORTGAGE,0
36487.75,16,25.96,666.0,9800,36,MORTGAGE,0
45109.63,33,14.11,724.0,22400,36,RENT,1
62932.98,6,27.36,789.0,39800,36,RENT,0
46549.06,16,17.86,737.0,21000,36,RENT,0
27575.09,2,32.93,623.0,20700,36,RENT,1
61962.3,28,10.55,713.0,3800,36,RENT,0
35201.65,21,18.72,626.0,40300,36,MORTGAGE,0
75871.49,37,10.81,664.0,32600,36,MORTGAGE,0
37808.45,28,36.28,743.0,31100,36,RENT,0
129958.08,4,20.21,636.0,19800,36,MORTGAGE,0
40472.31,29,9.93,642.0,22800,36,RENT,1
50968.81,22,10.98,724.0,37700,36,MORTGAGE,0
89927.46,20,25.14,635.0,45400,60,MORTGAGE,0
32356.42,25,1.81,562.0,36500,36,RENT,1
67085.95,20,18.22,598.0,39200,36,RENT,0
115101.7,19,11.48,653.0,11700,36,RENT,0
26802.71,22,18.4,652.0,14500,36,OWN,0
65664.71,3,21.01,657.0,12200,36,RENT,1
68182.38,20,19.02,647.0,28900,36,MORTGAGE,0
88513.6,20,17.34,682.0,31500,60,MORTGAGE,0
32258.11,0,21.66,633.0,27200,36,RENT,0
30938.97,14,37.5,622.0,48900,60,MORTGAGE,0
77728.0,16,32.74,687.0,13700,60,RENT,0
69459.03,13,16.62,679.0,30600,36,RENT,0
67863.01,18,27.25,723.0,28600,36,RENT,0
71198.29,33,26.76,774.0,20700,36,MORTGAGE,0
42616.11,5,16.21,558.0,37800,36,RENT,0
67246.94,5,19.68,698.0,34900,60,MORTGAGE,0
69323.29,4,25.38,681.0,19800,60,MORTGAGE,0
41890.92,6,12.7,727.0,16200,60,RENT,0
152190.34,32,17.59,663.0,1700,36,MORTGAGE,0
75880.61,12,18.02,656.0,11500,36,MORTGAGE,1
33002.82,0,17.3,594.0,33400,60,MORTGAGE,0
83139.63,12,16.91,728.0,26600,36,RENT,0
36778.15,26,24.42,667.0,28900,36,MORTGAGE,0
88746.77,6,20.26,734.0,12100,60,MORTGAGE,0
106862.45,2,26.39,660.0,12700,36,RENT,0
39721.94,24,45.2,628.0,36200,60,RENT,1
96924.54,32,14.65,716.0,27100,36,MORTGAGE,0
73599.28,39,22.18,657.0,9600,60,MORTGAGE,0
90312.4,16,25.09,710.0,31700,36,RENT,0
154569.09,13,30.92,715.0,4600,36,MORTGAGE,0
52960.73,36,24.34,673.0,34700,60,MORTGAGE,0
41074.05,22,9.07,632.0,29200,60,RENT,0
38378.12,23,13.38,679.0,46700,36,MORTGAGE,1
39818.82,28,21.46,624.0,20200,36,OWN,0
57609.87,37,13.09,674.0,6700,60,MORTGAGE,0
71010.0,26,5.24,758.0,42000,36,MORTGAGE,0
68757.8,37,11.94,735.0,34300,36,MORTGAGE,1
90544.04,39,11.99,653.0,11700,36,RENT,1
60264.65,22,9.91,684.0,20500,36,MORTGAGE,0
123842.64,30,45.27,658.0,13200,36,RENT,0
52452.94,35,23.15,681.0,6000,36,OWN,1
233300.96,16,21.16,651.0,47800,36,MORTGAGE,1
81865.56,36,29.2,643.0,18100,60,MORTGAGE,0
39004.07,2,37.98,755.0,25700,60,OWN,1
35050.8,35,23.87,666.0,17000,60,OWN,1
76209.1,4,30.18,652.0,42000,36,MORTGAGE,0
53544.51,14,14.98,561.0,16600,36,MORTGAGE,0
85562.32,5,10.94,686.0,18800,36,RENT,0
75858.03,9,29.09,784.0,40200,36,MORTGAGE,1
57733.08,31,28.9,641.0,2600,60,RENT,0
39206.71,22,27.96,642.0,7500,60,OWN,0
28073.36,16,21.26,657.0,13200,36,MORTGAGE,0
47893.86,19,12.2,634.0,40000,60,RENT,0
91876.39,40,15.19,789.0,33600,36,RENT,1
66639.11,14,31.55,721.0,44900,36,MORTGAGE,0
32116.67,21,14.09,692.0,19400,36,MORTGAGE,0
65289.76,5,21.86,777.0,9400,60,RENT,0
72595.53,3,12.29,759.0,24600,36,RENT,0
38486.83,22,18.09,665.0,47100,36,MORTGAGE,0
64657.7,18,9.19,658.0,10300,36,MORTGAGE,0
61642.35,30,19.25,656.0,25400,60,RENT,1
33810.1,2,15.22,631.0,4000,36,RENT,0
71603.1,27,2.93,663.0,35800,36,RENT,1
79252.34,2,26.55,650.0,26800,36,MORTGAGE,0
102901.31,13,26.09,625.0,46500,36,RENT,0
101407.37,17,20.56,560.0,22200,60,RENT,0
30066.45,26,8.76,709.0,20300,36,MORTGAGE,0
37462.19,9,8.9,528.0,9400,36,RENT,0
77460.05,14,43.31,693.0,43000,36,MORTGAGE,1
77411.68,18,0.0,724.0,20600,36,MORTGAGE,0
77460.53,8,9.09,697.0,28200,60,RENT,0
411007.09,3,41.5,701.0,26800,60,RENT,0
79653.82,14,44.63,687.0,47200,36,RENT,0
105638.99,7,36.99,660.0,21500,36,MORTGAGE,0
96471.3,0,25.32,675.0,5800,36,RENT,0
82925.31,6,13.64,661.0,22100,36,RENT,0
51142.21,30,3.17,632.0,48000,36,MORTGAGE,0
87507.92,17,24.06,737.0,31000,36,MORTGAGE,0
40683.89,11,12.37,706.0,22200,36,MORTGAGE,0
53188.14,29,34.52,660.0,8700,36,MORTGAGE,0
46972.53,32,1.47,668.0,32000,36,RENT,0
62376.08,6,22.0,633.0,45500,36,RENT,0
190485.11,27,29.29,711.0,5600,36,MORTGAGE,1
23537.91,2,30.13,646.0,38000,60,RENT,1
84383.75,5,28.34,660.0,48700,36,MORTGAGE,0
26732.68,30,23.4,667.0,3900,36,RENT,1
47289.05,37,21.28,670.0,7300,36,MORTGAGE,0
103205.28,14,29.08,639.0,30300,36,MORTGAGE,0
61829.76,6,23.41,716.0,47700,36,OWN,0
34930.92,29,23.73,708.0,21400,60,RENT,0
41870.98,26,20.34,629.0,25900,36,MORTGAGE,0
84103.11,16,16.15,836.0,23700,60,MORTGAGE,0
41556.81,17,6.5,615.0,37400,36,MORTGAGE,0
66717.95,21,8.23,703.0,19600,36,RENT,0
61254.09,25,16.17,699.0,49100,60,RENT,1
43226.1,26,18.79,699.0,1400,36,RENT,0
174900.42,39,10.32,777.0,6400,36,RENT,0
82204.02,23,9.58,663.0,30200,60,RENT,0
21751.3,7,16.35,652.0,24000,60,RENT,0
65724.51,20,29.02,693.0,44100,36,MORTGAGE,0
43006.51,28,0.0,579.0,5300,36,RENT,0
91694.41,20,10.62,685.0,1900,36,RENT,0
40285.21,2,21.62,682.0,30800,36,RENT,0
56535.94,30,32.87,633.0,15200,60,MORTGAGE,0
77071.87,26,41.61,784.0,40400,60,RENT,0
92307.22,26,16.58,692.0,13300,60,OWN,1
32854.76,8,16.43,621.0,13800,60,MORTGAGE,0
50652.78,32,18.62,638.0,46100,36,RENT,0
47217.85,32,22.27,626.0,8400,36,MORTGAGE,1
43188.75,25,19.55,626.0,20600,36,MORTGAGE,0
144744.75,27,21.17,705.0,22000,36,RENT,0
73312.83,30,6.64,695.0,4400,36,RENT,0
31874.39,0,3.38,680.0,6700,36,RENT,0
94743.73,19,27.15,713.0,19700,36,MORTGAGE,0
173005.4,11,18.07,712.0,42600,60,MORTGAGE,0
100331.26,16,28.34,789.0,6100,36,RENT,0
28009.95,14,22.24,700.0,30300,36,RENT,0
46999.06,33,5.67,613.0,10500,36,MORTGAGE,0
112809.47,15,35.53,684.0,38300,36,RENT,0
42031.11,3,20.31,607.0,18000,60,RENT,0
74750.39,7,12.53,676.0,27200,36,MORTGAGE,0
88196.01,33,14.66,607.0,22200,60,RENT,0
37666.82,24,7.89,649.0,37600,36,MORTGAGE,0
58118.38,14,23.33,664.0,48800,36,MORTGAGE,1
11841.51,27,18.89,570.0,38100,36,RENT,0
35875.37,8,40.19,661.0,48000,36,MORTGAGE,0
52770.94,1,25.2,649.0,19100,36,MORTGAGE,0
32083.86,16,39.58,603.0,28800,36,MORTGAGE,0
135429.39,9,10.39,732.0,4800,36,RENT,0
29287.89,8,16.69,638.0,25400,36,MORTGAGE,0
48049.06,30,28.9,722.0,35900,60,MORTGAGE,0
63918.89,1,25.89,682.0,13400,36,MORTGAGE,1
123085.76,23,19.84,665.0,11400,60,RENT,0
29204.23,18,9.24,607.0,1700,36,RENT,0
107106.81,16,0.0,623.0,30500,36,MORTGAGE,0
60181.27,9,17.8,679.0,17200,36,MORTGAGE,0
36652.82,27,18.23,678.0,18000,36,MORTGAGE,0
75436.89,37,21.28,633.0,39400,36,RENT,0
66140.06,27,5.54,612.0,38200,36,MORTGAGE,1
44351.05,0,11.21,699.0,6600,36,MORTGAGE,0
62000.71,2,23.92,708.0,41300,36,MORTGAGE,0
49382.1,14,25.85,625.0,24600,36,MORTGAGE,0
63370.81,9,22.01,662.0,17100,36,RENT,0
83371.79,20,16.53,702.0,45000,36,RENT,0
132323.96,36,8.13,631.0,33500,36,MORTGAGE,0
32244.16,14,29.54,614.0,37000,36,MORTGAGE,0
173948.87,22,27.27,732.0,12300,60,RENT,0
22560.51,13,14.26,606.0,19800,36,OWN,0
55498.29,14,28.33,672.0,45100,60,RENT,0
80350.9,9,19.31,681.0,10800,36,MORTGAGE,0
68905.82,8,13.18,613.0,26000,36,OWN,0
43855.27,38,29.27,713.0,30800,60,MORTGAGE,0
53956.79,4,21.0,590.0,17900,60,MORTGAGE,0
46793.5,24,15.72,679.0,3600,36,MORTGAGE,0
44592.35,25,7.18,641.0,8900,36,RENT,0
91564.69,7,8.1,684.0,11800,36,OWN,0
71575.47,21,28.47,662.0,15800,36,RENT,0
42342.44,24,24.53,606.0,8400,36,OWN,0
93882.56,11,8.3,664.0,11900,60,MORTGAGE,0
69818.18,8,8.11,697.0,32500,60,RENT,0
89898.01,9,41.03,666.0,35700,60,RENT,1
82027.88,9,24.65,652.0,13400,36,MORTGAGE,0
39557.18,8,32.1,563.0,37700,36,MORTGAGE,0
45247.81,25,34.92,620.0,33700,36,MORTGAGE,1
86998.56,34,10.72,640.0,35200,36,RENT,0
81241.8,26,37.43,718.0,46800,36,MORTGAGE,0
59251.67,30,9.22,650.0,30400,36,OWN,0
63491.65,18,27.29,697.0,30700,36,MORTGAGE,0
113417.67,37,18.84,644.0,18200,60,MORTGAGE,0
44543.18,5,27.23,561.0,42900,60,RENT,0
78711.83,14,17.89,725.0,46200,60,MORTGAGE,0
54117.0,28,25.49,629.0,6200,60,RENT,0
53699.52,4,33.62,714.0,1500,60,MORTGAGE,0
103713.59,13,31.2,670.0,7800,36,RENT,0
90464.08,1,19.38,747.0,41800,36,MORTGAGE,0
89927.12,22,10.46,837.0,6200,36,OWN,0
115005.98,18,17.02,705.0,49500,36,MORTGAGE,0
60506.25,23,24.44,602.0,41100,60,RENT,0
84202.21,19,26.52,704.0,48000,36,MORTGAGE,1
51270.28,26,30.7,686.0,34700,36,MORTGAGE,0
70409.48,23,12.69,612.0,21100,36,RENT,0
56102.1,16,10.68,636.0,9800,36,MORTGAGE,0
62849.48,24,9.8,649.0,47800,36,MORTGAGE,0
80626.17,30,18.03,694.0,1700,60,MORTGAGE,0
39770.86,27,22.14,616.0,30300,36,MORTGAGE,0
170449.38,27,23.7,639.0,26000,36,RENT,0
36206.4,21,5.86,601.0,24100,36,OWN,1
32627.33,4,10.47,564.0,21300,36,MORTGAGE,0
106836.56,7,12.97,713.0,3800,36,MORTGAGE,1
88950.15,37,37.58,682.0,36700,36,RENT,0
81802.24,27,16.19,716.0,37900,36,MORTGAGE,0
81975.26,11,5.23,641.0,40200,36,RENT,0
59508.63,24,23.81,633.0,18500,36,RENT,1
38229.88,37,18.91,678.0,14100,36,MORTGAGE,0
62187.06,14,8.25,715.0,16000,60,MORTGAGE,0
42677.16,40,15.26,712.0,30800,36,RENT,0
97495.34,33,16.59,624.0,20800,60,RENT,1
55629.63,12,18.77,716.0,15600,60,RENT,0
39626.42,7,29.3,737.0,44900,36,MORTGAGE,0
50986.04,12,25.61,688.0,10800,60,MORTGAGE,0
73604.82,35,21.25,732.0,32500,36,MORTGAGE,0
45167.71,5,29.86,691.0,8500,36,MORTGAGE,1
39691.4,37,15.9,606.0,41200,36,RENT,0
67632.48,31,12.75,719.0,33200,36,RENT,0
67675.76,20,23.09,692.0,14500,36,MORTGAGE,1
46468.43,6,22.32,614.0,5500,36,MORTGAGE,0
47310.18,25,5.24,637.0,39200,36,MORTGAGE,0
67240.09,14,34.93,693.0,42400,60,RENT,0
29026.31,22,9.81,775.0,6900,36,MORTGAGE,0
29621.87,37,25.29,746.0,39100,36,RENT,0
41805.28,40,25.53,563.0,1200,60,MORTGAGE,1
53813.33,14,0.0,668.0,26400,36,MORTGAGE,0
69944.25,39,22.27,748.0,37700,36,MORTGAGE,0
125201.3,15,36.37,665.0,15700,36,MORTGAGE,0
91934.33,31,12.9,653.0,33900,36,RENT,0
55272.5,36,1.02,641.0,8200,36,RENT,0
59307.55,17,18.83,712.0,5800,60,RENT,0
36269.6,19,24.66,679.0,20900,36,MORTGAGE,0
59322.47,1,19.13,696.0,9400,60,MORTGAGE,0
51827.22,22,10.5,657.0,47400,60,MORTGAGE,0
70358.53,29,9.7,761.0,47500,36,OWN,0
39592.09,2,3.78,646.0,45200,36,OWN,0
77627.21,38,1.25,719.0,34500,60,MORTGAGE,0
128845.52,0,16.57,582.0,15000,36,MORTGAGE,0
56705.13,40,24.24,667.0,11600,60,MORTGAGE,0
73193.06,21,21.59,651.0,12600,36,OWN,0
84547.77,28,22.51,682.0,16200,60,MORTGAGE,0
48990.9,13,26.32,585.0,4000,36,RENT,0
66973.09,27,33.08,754.0,33300,60,RENT,0
60252.31,20,20.28,678.0,1100,36,OWN,0
62870.86,31,23.45,783.0,40100,36,OWN,0
40680.13,5,23.51,701.0,26100,36,MORTGAGE,0
60612.42,0,21.47,683.0,18600,36,RENT,0
76803.01,20,20.19,676.0,35100,36,MORTGAGE,0
123694.71,3,21.0,718.0,11900,36,OWN,0
96725.8,2,35.62,717.0,30200,60,MORTGAGE,0
175710.18,29,34.32,717.0,18300,36,RENT,1
40795.47,30,2.93,775.0,27400,36,MORTGAGE,0
92610.73,33,22.19,737.0,1000,36,RENT,0
65622.31,18,20.07,640.0,5000,60,MORTGAGE,0
178957.11,19,32.6,652.0,2600,36,RENT,0
39968.66,22,19.64,684.0,15800,36,MORTGAGE,0
39345.59,39,22.51,671.0,9200,36,RENT,0
44369.33,24,13.5,678.0,18700,60,RENT,0
20703.38,14,28.13,568.0,1500,36,MORTGAGE,0
46033.4,37,7.56,709.0,15600,36,RENT,0
40963.38,22,16.95,644.0,10400,60,MORTGAGE,1
64550.1,1,9.46,783.0,19800,36,RENT,0
71031.45,14,16.99,685.0,44400,60,MORTGAGE,0
152983.51,34,14.51,683.0,49800,36,RENT,0
96298.88,9,28.37,704.0,37700,36,MORTGAGE,0
44871.05,13,17.81,631.0,1700,36,RENT,0
38207.71,26,34.92,745.0,25500,60,RENT,0
76569.92,13,17.59,794.0,25600,36,MORTGAGE,0
30942.42,34,9.17,693.0,16200,36,RENT,0
149601.35,32,17.57,722.0,11600,36,OWN,0
107982.03,0,24.77,652.0,45200,36,MORTGAGE,1
47354.27,33,36.87,665.0,17600,36,OWN,0
25423.59,18,13.55,680.0,41300,60,RENT,0
117822.69,23,36.59,626.0,2400,36,RENT,0
56541.5,3,18.1,748.0,13700,36,RENT,0
111180.26,35,15.55,606.0,46200,36,MORTGAGE,0
26978.25,12,27.76,551.0,43500,36,RENT,1
44369.72,31,34.23,751.0,45500,60,MORTGAGE,0
60031.33,8,25.57,709.0,46700,36,MORTGAGE,0
61297.25,38,5.85,623.0,48000,60,RENT,0
47808.91,15,23.33,673.0,15900,60,MORTGAGE,0
81750.32,2,41.75,688.0,17700,60,OWN,0
35108.19,19,0.0,664.0,5300,36,MORTGAGE,0
55759.9,9,23.73,617.0,5200,60,OWN,0
63585.95,21,17.15,687.0,24400,60,RENT,1
77436.96,2,10.64,733.0,2200,36,RENT,0
85460.32,10,30.33,591.0,45800,36,RENT,0
34121.36,24,2.62,635.0,20800,36,MORTGAGE,0
27804.22,7,16.5,597.0,23000,60,MORTGAGE,0
113418.34,8,30.01,645.0,46700,36,RENT,0
70696.9,14,28.87,692.0,9900,36,MORTGAGE,0
41182.01,31,25.96,598.0,45200,36,RENT,0
130037.22,2,21.73,772.0,11500,36,OWN,0
63439.2,3,18.76,675.0,31300,36,RENT,0
107974.31,29,15.3,662.0,5600,60,RENT,0
61929.95,12,10.29,576.0,29100,36,MORTGAGE,0
167774.14,20,28.13,698.0,42100,60,RENT,0
144014.67,40,22.11,690.0,23000,36,MORTGAGE,0
52866.12,18,28.43,601.0,30600,60,MORTGAGE,0
97322.5,38,12.19,630.0,30900,36,OWN,0
82676.28,21,11.97,763.0,17500,36,MORTGAGE,0
118695.39,19,24.97,664.0,28000,60,MORTGAGE,1
36958.03,36,0.0,663.0,34900,60,RENT,0
84374.94,30,0.0,705.0,38000,36,MORTGAGE,0
101642.01,9,30.13,673.0,35400,36,MORTGAGE,1
24850.43,17,12.93,720.0,24900,36,MORTGAGE,0
33135.84,38,21.93,622.0,17800,60,MORTGAGE,1
21598.6,19,23.8,628.0,16800,36,MORTGAGE,0
52328.51,17,30.35,647.0,30800,36,RENT,0
85713.97,10,15.6,637.0,6000,36,MORTGAGE,0
126903.03,21,16.15,641.0,6000,36,MORTGAGE,0
62133.92,17,13.85,672.0,22200,36,RENT,0
135172.6,33,26.21,754.0,34300,36,MORTGAGE,0
30029.91,22,26.65,597.0,34700,36,MORTGAGE,1
25547.86,0,32.78,644.0,32000,36,OWN,1
58234.09,9,7.53,708.0,43600,60,MORTGAGE,0
72550.11,0,42.34,773.0,5000,36,RENT,0
58903.31,37,16.88,717.0,48100,36,MORTGAGE,0
21296.09,38,19.52,639.0,39600,36,OWN,0
57264.72,8,21.63,641.0,47300,36,RENT,0
31187.27,30,10.89,713.0,48400,60,MORTGAGE,0
83686.78,6,15.88,721.0,33300,36,RENT,0
71919.24,16,34.61,674.0,18900,36,MORTGAGE,1
37423.72,34,34.76,650.0,42200,36,RENT,1
46307.84,36,22.05,766.0,8200,60,MORTGAGE,0
35256.08,17,30.44,753.0,15200,36,OWN,0
58026.81,32,24.11,689.0,49900,36,MORTGAGE,0
96526.34,3,19.43,690.0,7000,60,MORTGAGE,1
36575.61,22,12.46,603.0,34300,36,OWN,0
77035.63,10,11.39,677.0,1400,36,RENT,0
45929.88,8,12.42,725.0,43200,60,MORTGAGE,0
40278.12,29,36.15,566.0,18600,36,MORTGAGE,0
56754.19,7,28.73,699.0,21200,36,MORTGAGE,0
35681.19,39,34.41,694.0,14900,36,RENT,0
45395.82,4,24.0,699.0,41200,36,MORTGAGE,0
32894.51,11,11.2,625.0,41700,36,RENT,0
159909.38,0,26.03,674.0,23900,36,MORTGAGE,0
60939.19,14,32.7,639.0,2100,36,OWN,1
42198.39,24,26.4,762.0,10900,36,MORTGAGE,0
66635.31,17,6.83,750.0,35400,36,RENT,0
56604.06,37,5.26,688.0,38200,60,OWN,0
53611.3,25,26.36,669.0,32400,60,MORTGAGE,1
81396.16,39,16.87,676.0,7900,36,RENT,0
87444.0,2,23.12,662.0,49300,36,MORTGAGE,1
45924.29,21,12.77,571.0,9700,60,RENT,0
44895.41,25,21.27,666.0,37000,36,RENT,1
52181.02,18,9.0,769.0,6400,36,MORTGAGE,0
18940.15,38,22.47,662.0,5500,36,MORTGAGE,1
28068.53,35,27.28,624.0,42900,60,RENT,0
118591.15,20,27.84,697.0,26900,36,RENT,0
136282.31,40,6.93,675.0,23900,36,OWN,0
52864.22,25,24.69,618.0,44100,36,MORTGAGE,0
79879.82,12,14.12,620.0,40500,36,MORTGAGE,0
69956.23,35,35.27,675.0,42400,36,MORTGAGE,0
279132.09,23,29.56,628.0,14900,36,RENT,1
104797.74,40,20.26,682.0,26100,36,MORTGAGE,0
56164.56,25,41.82,664.0,40400,36,MORTGAGE,0
37131.83,20,12.72,696.0,28400,60,MORTGAGE,0
26816.61,17,19.43,646.0,14600,36,MORTGAGE,0
66285.86,14,25.41,619.0,30500,36,MORTGAGE,0
41020.39,14,40.34,670.0,35400,60,MORTGAGE,0
29403.62,5,34.64,708.0,39400,36,MORTGAGE,0
43334.9,30,28.02,637.0,19600,60,MORTGAGE,0
34864.56,27,11.23,740.0,10600,36,RENT,0
139186.61,7,11.21,693.0,44100,36,RENT,0
93043.26,28,26.95,661.0,42200,36,MORTGAGE,0
59635.94,20,7.48,639.0,42700,36,RENT,0
125488.83,16,23.2,695.0,25900,36,OWN,0
62235.71,23,28.04,666.0,5200,36,MORTGAGE,0
38923.67,35,5.22,597.0,21900,36,MORTGAGE,0
128227.59,30,26.48,765.0,10300,60,MORTGAGE,0
