Annual_Income,Employment_Length,Debt_to_Income,Credit_Score,Loan_Amount,Loan_Term,Income_to_Loan_Ratio,Monthly_Income,Est_Monthly_Debt,Disposable_Income,Home_Ownership_MORTGAGE,Home_Ownership_OWN,Home_Ownership_RENT
84561.67,26,28.41,797.0,9600,60,8.808507291666666,7046.805833333333,2001.99753725,5044.808296083333,1.0,0.0,0.0
88616.49,14,29.48,723.0,44900,60,1.973641202672606,7384.7075,2177.011771,5207.695729000001,1.0,0.0,0.0
50441.05,0,17.86,653.0,28500,36,1.769861403508772,4203.420833333334,750.7309608333333,3452.6898725,1.0,0.0,0.0
99008.63,28,20.81,758.0,4000,36,24.752157500000003,8250.719166666668,1716.9746585833334,6533.744508083334,0.0,1.0,0.0
17399.17,8,23.45,646.0,33100,36,0.5256546827794562,1449.930833333333,340.0087804166666,1109.9220529166664,0.0,0.0,1.0
14522.94,8,4.62,598.0,40100,60,0.36216807980049875,1210.2450000000001,55.913319,1154.3316810000001,0.0,0.0,1.0
45958.81,38,30.27,744.0,46400,60,0.9904915948275862,3829.900833333333,1159.3109822499998,2670.589851083333,0.0,0.0,1.0
40195.35,35,25.41,633.0,28300,36,1.4203303886925795,3349.6124999999997,851.13653625,2498.4759637499997,0.0,0.0,1.0
53646.17,0,4.96,696.0,48000,60,1.1176285416666667,4470.514166666667,221.73750266666667,4248.776664,0.0,0.0,1.0
42749.17,14,3.97,705.0,47500,36,0.8999825263157895,3562.4308333333333,141.42850408333334,3421.00232925,1.0,0.0,0.0
46342.41,24,12.64,684.0,15800,60,2.933063924050633,3861.8675000000003,488.1400520000001,3373.727448,0.0,0.0,1.0
35063.09,38,6.94,596.0,19500,36,1.7981071794871792,2921.924166666666,202.78153716666665,2719.1426294999997,0.0,0.0,1.0
29378.59,38,28.38,688.0,42300,36,0.6945293144208038,2448.215833333333,694.8036535,1753.412179833333,0.0,0.0,1.0
91329.39,16,17.88,682.0,12400,60,7.365273387096774,7610.7825,1360.8079109999999,6249.974589,0.0,0.0,1.0
138091.78,12,31.38,593.0,47200,36,2.9256733050847457,11507.648333333333,3611.1000469999994,7896.548286333333,0.0,0.0,1.0
102309.52,20,22.78,709.0,14400,60,7.104827777777778,8525.793333333333,1942.1757213333333,6583.617612,0.0,0.0,1.0
75604.62,23,30.68,577.0,16400,36,4.610037804878049,6300.384999999999,1932.9581179999998,4367.426882,0.0,1.0,0.0
50868.23,34,32.73,650.0,46000,36,1.1058310869565218,4239.019166666667,1387.43097325,2851.588193416667,0.0,0.0,1.0
108929.42,15,22.08,697.0,31900,60,3.4147153605015674,9077.451666666666,2004.3013279999998,7073.150338666666,1.0,0.0,0.0
50240.43,19,24.24,701.0,17100,36,2.938036842105263,4186.7025,1014.856686,3171.8458140000002,1.0,0.0,0.0
58006.19,11,45.71,724.0,9900,36,5.859211111111112,4833.849166666667,2209.5524540833335,2624.2967125833334,1.0,0.0,0.0
45981.89,30,13.98,728.0,30200,36,1.5225791390728476,3831.8241666666668,535.6890185000001,3296.1351481666666,0.0,0.0,1.0
62458.19,24,24.7,737.0,17500,36,3.5690394285714286,5204.849166666667,1285.5977441666666,3919.2514225000004,1.0,0.0,0.0
123103.94,35,31.09,642.0,18900,60,6.513435978835979,10258.661666666667,3189.4179121666666,7069.2437545,0.0,0.0,1.0
59596.71,16,17.54,684.0,47300,36,1.2599727272727272,4966.3925,871.1052445,4095.2872555,1.0,0.0,0.0
33581.22,22,20.21,756.0,15200,36,2.2092907894736844,2798.435,565.5637135,2232.8712864999998,0.0,1.0,0.0
38560.9,16,23.04,586.0,26200,36,1.471790076335878,3213.4083333333333,740.36928,2473.0390533333334,0.0,0.0,1.0
54343.86,6,37.87,651.0,47000,60,1.1562523404255318,4528.655,1715.0016484999999,2813.6533515,0.0,0.0,1.0
106724.21,32,30.44,709.0,39900,60,2.674792230576441,8893.684166666668,2707.2374603333337,6186.446706333334,1.0,0.0,0.0
90229.91,24,9.92,580.0,36800,36,2.45189972826087,7519.159166666667,745.9005893333334,6773.258577333334,0.0,1.0,0.0
40696.76,5,17.86,652.0,5700,36,7.139782456140352,3391.396666666667,605.7034446666667,2785.6932220000003,1.0,0.0,0.0
38696.54,9,31.48,711.0,23700,36,1.6327654008438819,3224.7116666666666,1015.1392326666668,2209.5724339999997,0.0,0.0,1.0
94416.6,30,18.99,769.0,8300,60,11.375493975903614,7868.05,1494.142695,6373.907305000001,1.0,0.0,0.0
37221.98,27,24.46,718.0,42300,36,0.8799522458628842,3101.831666666667,758.7080256666668,2343.123641,0.0,0.0,1.0
64613.42,34,11.73,645.0,10500,60,6.153659047619048,5384.451666666667,631.5961805000001,4752.855486166667,1.0,0.0,0.0
66639.11,14,31.55,721.0,44900,36,1.4841672605790646,5553.259166666667,1752.0532670833334,3801.205899583333,1.0,0.0,0.0
26352.28,31,25.98,650.0,24700,36,1.066893927125506,2196.023333333333,570.526862,1625.496471333333,1.0,0.0,0.0
86016.63,22,14.19,610.0,4400,36,19.549234090909092,7168.052500000001,1017.14664975,6150.905850250001,0.0,0.0,1.0
77404.49,15,28.71,668.0,13300,60,5.819886466165414,6450.374166666667,1851.9024232500003,4598.471743416667,1.0,0.0,0.0
43091.57,3,18.41,686.0,48900,60,0.8812182004089979,3590.9641666666666,661.0965030833333,2929.8676635833335,1.0,0.0,0.0
47598.56,1,31.81,613.0,37600,36,1.26591914893617,3966.5466666666666,1261.7584946666666,2704.788172,0.0,0.0,1.0
66759.98,7,30.78,677.0,41800,60,1.5971287081339711,5563.331666666666,1712.3934869999998,3850.938179666666,0.0,0.0,1.0
48741.53,24,25.9,630.0,12200,36,3.99520737704918,4061.7941666666666,1052.0046891666666,3009.7894775,1.0,0.0,0.0
65675.77,33,19.04,691.0,12400,36,5.29643306451613,5472.980833333334,1042.0555506666667,4430.925282666667,1.0,0.0,0.0
81044.76,34,17.01,698.0,13500,36,6.003315555555555,6753.73,1148.809473,5604.920526999999,0.0,0.0,1.0
92401.89,11,20.79,723.0,35600,60,2.5955587078651687,7700.1575,1600.86274425,6099.29475575,1.0,0.0,0.0
49023.25,37,19.62,647.0,15200,36,3.225213815789474,4085.2708333333335,801.5301375000001,3283.740695833333,1.0,0.0,0.0
32679.13,6,19.03,546.0,26000,36,1.2568896153846154,2723.2608333333333,518.2365365833334,2205.02429675,0.0,1.0,0.0
43574.22,17,15.78,645.0,42400,36,1.0276938679245284,3631.185,573.000993,3058.184007,0.0,0.0,1.0
106302.64,4,26.1,733.0,13900,36,7.647671942446043,8858.553333333333,2312.08242,6546.470913333333,1.0,0.0,0.0
70135.14,13,22.8,762.0,42600,36,1.6463647887323944,5844.595,1332.5676600000002,4512.027340000001,0.0,0.0,1.0
126438.99,26,32.59,763.0,44700,36,2.8286127516778525,10536.5825,3433.8722367500004,7102.71026325,0.0,1.0,0.0
73829.19,33,22.13,666.0,44700,36,1.651659731543624,6152.4325,1361.5333122499999,4790.89918775,1.0,0.0,0.0
64193.67,14,12.58,743.0,36600,36,1.7539254098360655,5349.4725,672.9636405,4676.5088595,0.0,0.0,1.0
42422.92,33,25.99,623.0,26400,60,1.606928787878788,3535.2433333333333,918.8097423333332,2616.433591,1.0,0.0,0.0
44369.72,31,34.23,751.0,45500,60,0.9751586813186813,3697.476666666667,1265.646263,2431.830403666667,1.0,0.0,0.0
46686.66,10,27.76,696.0,17200,36,2.7143406976744187,3890.5550000000003,1080.018068,2810.536932,0.0,1.0,0.0
83585.27,39,24.09,689.0,21700,60,3.8518557603686636,6965.439166666667,1677.97429525,5287.464871416667,0.0,1.0,0.0
69829.12,22,30.09,658.0,40900,36,1.7073134474327627,5819.093333333333,1750.965184,4068.1281493333336,0.0,0.0,1.0
32331.08,10,20.22,563.0,38700,36,0.8354284237726098,2694.2566666666667,544.778698,2149.4779686666666,1.0,0.0,0.0
40405.21,2,41.21,734.0,18900,36,2.137841798941799,3367.1008333333334,1387.5822534166668,1979.5185799166666,0.0,0.0,1.0
73810.57,36,16.03,627.0,1300,60,56.77736153846154,6150.880833333334,985.9861975833334,5164.89463575,0.0,1.0,0.0
176756.44,24,2.11,690.0,16500,36,10.712511515151515,14729.703333333333,310.7967403333333,14418.906593,1.0,0.0,0.0
33291.59,18,26.49,646.0,19400,36,1.7160613402061853,2774.299166666666,734.9118492499998,2039.3873174166665,1.0,0.0,0.0
62212.08,27,9.04,665.0,33500,60,1.8570770149253732,5184.34,468.664336,4715.675664,0.0,0.0,1.0
79780.6,9,7.07,672.0,15200,36,5.2487236842105265,6648.383333333334,470.04070166666673,6178.342631666667,0.0,0.0,1.0
40732.75,13,26.81,686.0,10600,36,3.8427122641509435,3394.3958333333335,910.0375229166667,2484.358310416667,1.0,0.0,0.0
26561.76,3,16.22,585.0,23000,60,1.1548591304347826,2213.48,359.02645599999994,1854.453544,1.0,0.0,0.0
60897.74,38,30.84,795.0,5900,36,10.321650847457628,5074.8116666666665,1565.071918,3509.7397486666664,1.0,0.0,0.0
63370.81,9,22.01,662.0,17100,36,3.705895321637427,5280.900833333333,1162.3262734166667,4118.574559916667,0.0,0.0,1.0
72892.62,38,18.22,656.0,1600,36,45.5578875,6074.384999999999,1106.752947,4967.632052999999,1.0,0.0,0.0
78291.52,17,21.95,704.0,38900,36,2.0126354755784064,6524.293333333334,1432.0823866666667,5092.210946666667,1.0,0.0,0.0
55153.69,28,8.51,748.0,43700,60,1.2620981693363844,4596.140833333334,391.13158491666667,4205.009248416667,1.0,0.0,0.0
144024.38,16,14.59,666.0,3800,36,37.901152631578945,12002.031666666668,1751.0964201666668,10250.935246500001,0.0,0.0,1.0
68960.56,18,37.02,673.0,30800,36,2.2389792207792207,5746.713333333333,2127.433276,3619.280057333333,0.0,0.0,1.0
36900.38,38,14.39,732.0,8900,36,4.14611011235955,3075.0316666666663,442.49705683333326,2632.534609833333,0.0,0.0,1.0
49338.01,10,16.45,597.0,19600,36,2.5172454081632654,4111.5008333333335,676.3418870833333,3435.15894625,1.0,0.0,0.0
49878.2,19,29.63,675.0,44000,36,1.1335954545454545,4156.516666666666,1231.5758883333333,2924.940778333333,0.0,0.0,1.0
93495.81,27,27.33,602.0,6200,36,15.07996935483871,7791.3175,2129.36707275,5661.95042725,1.0,0.0,0.0
181165.27,20,33.85,716.0,39700,36,4.563356926952141,15097.105833333333,5110.370324583334,9986.73550875,0.0,0.0,1.0
50383.88,2,31.46,760.0,17300,36,2.9123630057803465,4198.656666666667,1320.8973873333334,2877.7592793333333,1.0,0.0,0.0
37868.05,34,24.91,618.0,30600,36,1.2375179738562092,3155.6708333333336,786.0776045833334,2369.59322875,0.0,0.0,1.0
38371.78,36,0.0,659.0,42300,60,0.9071342789598108,3197.648333333333,0.0,3197.648333333333,1.0,0.0,0.0
64310.07,24,20.6,649.0,16300,60,3.9454030674846625,5359.1725,1103.989535,4255.182965,0.0,0.0,1.0
53661.43,32,5.84,620.0,11500,36,4.666211304347826,4471.785833333333,261.15229266666665,4210.633540666667,0.0,0.0,1.0
136081.27,0,18.77,748.0,47400,36,2.870912869198312,11340.105833333333,2128.537864916667,9211.567968416666,0.0,0.0,1.0
23507.9,1,21.06,584.0,5500,36,4.274163636363637,1958.9916666666668,412.563645,1546.4280216666668,1.0,0.0,0.0
79410.68,30,15.25,718.0,12200,60,6.509072131147541,6617.556666666666,1009.1773916666666,5608.379274999999,0.0,0.0,1.0
53673.43,27,9.1,649.0,17900,36,2.9985156424581008,4472.785833333333,407.0235108333333,4065.7623225,1.0,0.0,0.0
42887.4,18,19.99,622.0,30800,36,1.392448051948052,3573.9500000000003,714.4326050000001,2859.5173950000003,1.0,0.0,0.0
42877.83,16,0.0,676.0,2500,36,17.151132,3573.1525,0.0,3573.1525,1.0,0.0,0.0
77762.75,13,0.0,647.0,21800,36,3.567098623853211,6480.229166666667,0.0,6480.229166666667,1.0,0.0,0.0
43219.87,3,17.23,723.0,35500,36,1.2174611267605635,3601.6558333333337,620.5653000833335,2981.09053325,0.0,0.0,1.0
41418.6,5,27.54,613.0,27200,60,1.5227426470588235,3451.5499999999997,950.5568699999999,2500.99313,1.0,0.0,0.0
48848.64,5,17.57,634.0,44600,36,1.0952609865470853,4070.72,715.225504,3355.494496,1.0,0.0,0.0
49404.97,2,29.28,690.0,4200,60,11.763088095238096,4117.080833333333,1205.481268,2911.5995653333334,1.0,0.0,0.0
77044.92,9,13.17,542.0,33600,60,2.2930035714285713,6420.41,845.5679970000001,5574.842003,1.0,0.0,0.0
138196.81,10,20.87,680.0,9400,36,14.70178829787234,11516.400833333333,2403.4728539166667,9112.927979416667,0.0,0.0,1.0
53463.83,39,16.83,690.0,14100,36,3.7917609929078013,4455.319166666667,749.83021575,3705.488950916667,0.0,0.0,1.0
43342.39,16,18.62,727.0,36600,36,1.184218306010929,3611.8658333333333,672.5294181666667,2939.3364151666665,0.0,0.0,1.0
58233.01,10,27.56,542.0,5900,36,9.870001694915254,4852.7508333333335,1337.4181296666668,3515.332703666667,1.0,0.0,0.0
21286.16,35,41.32,596.0,36300,60,0.5863955922865014,1773.8466666666666,732.9534426666667,1040.893224,0.0,0.0,1.0
60578.34,30,23.15,600.0,29800,36,2.0328302013422817,5048.195,1168.6571424999997,3879.5378575,0.0,0.0,1.0
51301.07,1,35.95,739.0,35400,60,1.4491827683615819,4275.089166666667,1536.894555416667,2738.19461125,0.0,0.0,1.0
108827.93,36,10.41,561.0,31400,60,3.4658576433121016,9068.994166666665,944.0822927499999,8124.911873916666,1.0,0.0,0.0
30379.77,20,29.94,617.0,12000,36,2.5316475,2531.6475,757.9752615,1773.6722385,1.0,0.0,0.0
126903.03,21,16.15,641.0,6000,36,21.150505,10575.2525,1707.9032787499998,8867.34922125,1.0,0.0,0.0
63040.91,31,9.17,633.0,9100,36,6.9275725274725275,5253.409166666667,481.7376205833334,4771.671546083334,1.0,0.0,0.0
48663.51,1,25.45,629.0,16900,36,2.879497633136095,4055.2925,1032.07194125,3023.2205587500002,1.0,0.0,0.0
74909.74,13,12.19,690.0,12700,60,5.898404724409449,6242.4783333333335,760.9581088333333,5481.5202245,1.0,0.0,0.0
61193.8,18,9.76,722.0,2400,36,25.497416666666666,5099.483333333334,497.7095733333333,4601.77376,1.0,0.0,0.0
119163.08,7,22.16,741.0,25200,36,4.728693650793651,9930.256666666666,2200.5448773333333,7729.7117893333325,0.0,0.0,1.0
87141.59,2,24.91,761.0,46000,36,1.8943823913043478,7261.799166666667,1808.9141724166666,5452.88499425,0.0,0.0,1.0
67503.61,20,12.38,688.0,6900,36,9.78313188405797,5625.300833333334,696.4122431666667,4928.888590166667,0.0,1.0,0.0
111494.95,35,19.66,762.0,1000,36,111.49495,9291.245833333332,1826.6589308333332,7464.586902499999,1.0,0.0,0.0
30871.14,32,27.41,659.0,31300,60,0.9862984025559105,2572.595,705.1482894999999,1867.4467104999999,0.0,0.0,1.0
57262.33,35,22.97,644.0,28000,36,2.0450832142857145,4771.860833333333,1096.0964334166665,3675.7643999166667,0.0,0.0,1.0
38928.24,7,13.66,689.0,33100,60,1.176079758308157,3244.02,443.133132,2800.886868,0.0,0.0,1.0
55576.48,28,34.87,659.0,12200,36,4.555449180327869,4631.373333333334,1614.9598813333332,3016.4134520000007,1.0,0.0,0.0
111461.14,24,13.21,690.0,12400,36,8.988801612903226,9288.428333333333,1227.0013828333333,8061.4269505,0.0,0.0,1.0
51489.51,4,38.37,649.0,18400,36,2.798342934782609,4290.7925000000005,1646.37708225,2644.4154177500004,1.0,0.0,0.0
128227.59,30,26.48,765.0,10300,60,12.449280582524272,10685.6325,2829.5554859999997,7856.077014,1.0,0.0,0.0
34206.3,7,21.79,619.0,6500,36,5.262507692307692,2850.525,621.1293975,2229.3956025,0.0,0.0,1.0
157618.13,16,33.1,731.0,10700,36,14.730666355140187,13134.844166666668,4347.633419166667,8787.210747500001,1.0,0.0,0.0
41981.83,4,23.12,688.0,23400,60,1.7940952991452992,3498.4858333333336,808.8499246666668,2689.635908666667,0.0,0.0,1.0
48649.32,24,37.5,709.0,3400,36,14.308623529411765,4054.11,1520.29125,2533.8187500000004,0.0,0.0,1.0
60603.61,17,38.87,721.0,10600,60,5.717321698113207,5050.300833333334,1963.0519339166667,3087.248899416667,0.0,0.0,1.0
42928.4,14,15.95,671.0,23500,60,1.8267404255319148,3577.366666666667,570.5899833333334,3006.7766833333335,0.0,0.0,1.0
42668.56,36,6.58,631.0,18600,36,2.2940086021505377,3555.713333333333,233.9659373333333,3321.7473959999998,1.0,0.0,0.0
45570.64,9,33.58,659.0,9000,36,5.063404444444444,3797.5533333333333,1275.2184093333333,2522.334924,1.0,0.0,0.0
67641.47,31,23.94,655.0,36100,60,1.8737249307479225,5636.7891666666665,1349.4473265,4287.341840166667,0.0,0.0,1.0
82355.7,17,34.24,628.0,30500,60,2.7001868852459014,6862.974999999999,2349.8826400000003,4513.092359999999,0.0,0.0,1.0
58462.71,32,36.17,606.0,40600,36,1.4399682266009852,4871.8925,1762.16351725,3109.72898275,1.0,0.0,0.0
59477.16,18,18.09,654.0,33400,36,1.7807532934131738,4956.43,896.618187,4059.8118130000003,0.0,0.0,1.0
48976.82,37,15.56,571.0,46500,36,1.053264946236559,4081.4016666666666,635.0660993333333,3446.3355673333335,0.0,0.0,1.0
69148.68,8,24.95,723.0,14300,36,4.835572027972027,5762.389999999999,1437.716305,4324.6736949999995,0.0,1.0,0.0
70646.24,22,0.0,669.0,20800,36,3.3964538461538463,5887.186666666667,0.0,5887.186666666667,1.0,0.0,0.0
41027.51,25,18.11,503.0,25700,60,1.5964011673151752,3418.959166666667,619.1735050833333,2799.7856615833334,1.0,0.0,0.0
59569.39,35,13.56,621.0,10800,36,5.51568425925926,4964.115833333333,673.134107,4290.981726333333,0.0,0.0,1.0
58305.2,7,19.34,661.0,22800,36,2.5572456140350877,4858.766666666666,939.6854733333332,3919.0811933333334,1.0,0.0,0.0
64247.07,7,24.5,654.0,43000,60,1.494117906976744,5353.9225,1311.7110125,4042.2114874999997,0.0,0.0,1.0
38010.4,25,29.23,713.0,16000,36,2.3756500000000003,3167.5333333333333,925.8699933333334,2241.66334,1.0,0.0,0.0
65862.06,18,9.66,653.0,23400,60,2.814617948717949,5488.505,530.1895830000001,4958.315417,1.0,0.0,0.0
39599.03,18,31.8,568.0,1300,60,30.460792307692305,3299.9191666666666,1049.374295,2250.5448716666665,1.0,0.0,0.0
56986.94,32,13.11,668.0,24600,36,2.3165422764227643,4748.911666666667,622.5823195,4126.329347166667,1.0,0.0,0.0
117733.78,22,14.24,680.0,18300,60,6.4335398907103825,9811.148333333333,1397.1075226666665,8414.040810666665,0.0,0.0,1.0
103337.27,5,17.01,704.0,4700,36,21.986653191489363,8611.439166666667,1464.8058022500004,7146.633364416666,0.0,0.0,1.0
47411.52,17,6.27,675.0,1300,36,36.4704,3950.9599999999996,247.72519199999994,3703.2348079999997,0.0,0.0,1.0
58959.54,33,18.9,756.0,11600,36,5.082718965517241,4913.295,928.6127549999999,3984.682245,0.0,1.0,0.0
72871.78,29,25.13,687.0,31700,60,2.2987943217665614,6072.6483333333335,1526.0565261666666,4546.591807166667,1.0,0.0,0.0
153431.92,21,17.48,684.0,47200,36,3.2506762711864408,12785.993333333334,2234.991634666667,10551.001698666667,0.0,0.0,1.0
88297.61,23,23.8,592.0,39900,60,2.2129726817042608,7358.134166666667,1751.2359316666668,5606.898235,0.0,0.0,1.0
93512.49,1,5.06,618.0,13100,36,7.138358015267176,7792.7075,394.31099950000004,7398.3965005,0.0,0.0,1.0
64705.1,13,14.96,740.0,37800,60,1.7117751322751322,5392.091666666666,806.6569133333334,4585.434753333333,1.0,0.0,0.0
51660.83,0,12.57,691.0,35500,36,1.455234647887324,4305.069166666667,541.1471942500001,3763.921972416667,1.0,0.0,0.0
39011.59,6,16.91,603.0,8600,60,4.536231395348837,3250.965833333333,549.7383224166666,2701.2275109166667,1.0,0.0,0.0
36028.32,24,21.19,751.0,3000,36,12.00944,3002.36,636.2000840000001,2366.159916,1.0,0.0,0.0
70374.96,14,12.07,740.0,37900,60,1.8568591029023749,5864.580000000001,707.8548060000002,5156.725194000001,0.0,0.0,1.0
101247.9,27,4.45,676.0,29100,60,3.4793092783505153,8437.324999999999,375.4609625,8061.864037499999,1.0,0.0,0.0
90966.09,8,11.52,738.0,22900,36,3.9723183406113534,7580.5075,873.274464,6707.233036,1.0,0.0,0.0
39133.72,22,23.7,596.0,12300,36,3.1816032520325206,3261.1433333333334,772.89097,2488.2523633333335,1.0,0.0,0.0
20319.74,35,32.07,632.0,21400,60,0.9495205607476637,1693.3116666666667,543.0450515,1150.2666151666667,0.0,1.0,0.0
62275.14,5,14.95,647.0,28100,36,2.216197153024911,5189.595,775.8444525,4413.7505475,1.0,0.0,0.0
30271.05,20,16.94,635.0,14800,60,2.045341216216216,2522.5875,427.32632250000006,2095.2611775,0.0,0.0,1.0
40874.73,34,8.18,651.0,6000,36,6.812455000000001,3406.2275000000004,278.6294095,3127.5980905000006,0.0,0.0,1.0
52604.0,30,15.39,696.0,47100,60,1.1168577494692145,4383.666666666667,674.6463000000001,3709.0203666666666,0.0,1.0,0.0
30852.6,9,39.12,721.0,11500,60,2.6828347826086953,2571.0499999999997,1005.7947599999999,1565.25524,1.0,0.0,0.0
87176.8,1,21.26,674.0,17300,36,5.039121387283237,7264.733333333334,1544.4823066666668,5720.251026666667,0.0,1.0,0.0
63125.3,14,6.59,618.0,43500,36,1.4511563218390806,5260.441666666667,346.6631058333333,4913.778560833333,0.0,1.0,0.0
82532.47,14,18.82,722.0,1700,36,48.548511764705886,6877.705833333333,1294.3842378333334,5583.3215955,0.0,1.0,0.0
28241.98,34,36.82,641.0,5100,36,5.537643137254902,2353.4983333333334,866.5580863333334,1486.940247,1.0,0.0,0.0
58651.94,13,25.96,611.0,34000,36,1.7250570588235294,4887.661666666667,1268.8369686666667,3618.8246980000004,1.0,0.0,0.0
67537.51,10,21.57,648.0,42800,36,1.5779792056074766,5628.125833333333,1213.98674225,4414.1390910833325,0.0,1.0,0.0
56233.78,5,32.64,606.0,22500,36,2.499279111111111,4686.1483333333335,1529.5588160000002,3156.5895173333333,0.0,1.0,0.0
49625.0,4,36.74,648.0,1600,36,31.015625,4135.416666666667,1519.3520833333334,2616.0645833333338,1.0,0.0,0.0
52179.2,26,25.76,649.0,28100,36,1.8569110320284696,4348.266666666666,1120.1134933333333,3228.153173333333,0.0,0.0,1.0
117356.02,16,19.88,689.0,16000,60,7.33475125,9779.668333333333,1944.1980646666664,7835.470268666667,1.0,0.0,0.0
54596.46,3,23.06,502.0,1100,36,49.633145454545456,4549.705,1049.161973,3500.5430269999997,0.0,0.0,1.0
37980.87,18,3.55,664.0,3400,60,11.170844117647059,3165.0725,112.36007375,3052.71242625,1.0,0.0,0.0
50418.92,13,11.64,667.0,18100,60,2.7855756906077347,4201.576666666667,489.06352400000003,3712.5131426666667,1.0,0.0,0.0
142380.38,29,20.13,714.0,39800,36,3.5773964824120603,11865.031666666668,2388.4308745,9476.600792166668,1.0,0.0,0.0
176797.58,32,19.24,702.0,37700,36,4.68959098143236,14733.131666666666,2834.6545326666665,11898.477134,1.0,0.0,0.0
116003.1,15,6.86,690.0,34600,36,3.352690751445087,9666.925000000001,663.1510550000002,9003.773945,1.0,0.0,0.0
179015.52,6,15.22,740.0,39300,60,4.555102290076336,14917.96,2270.513512,12647.446488,1.0,0.0,0.0
142832.18,12,17.6,629.0,41100,36,3.475235523114355,11902.681666666665,2094.8719733333332,9807.809693333333,1.0,0.0,0.0
21054.06,36,33.95,572.0,3400,36,6.192370588235295,1754.505,595.6544475000001,1158.8505525,1.0,0.0,0.0
66067.39,32,21.03,622.0,18400,36,3.5906190217391303,5505.615833333333,1157.83100975,4347.7848235833335,1.0,0.0,0.0
39292.29,9,17.81,678.0,19900,36,1.974486934673367,3274.3575,583.16307075,2691.19442925,0.0,1.0,0.0
77470.09,19,12.41,681.0,14300,60,5.417488811188811,6455.840833333333,801.1698474166666,5654.670985916666,1.0,0.0,0.0
50670.05,35,27.02,554.0,14200,36,3.5683133802816904,4222.504166666667,1140.9206258333334,3081.5835408333332,1.0,0.0,0.0
109602.48,36,16.79,714.0,47700,60,2.2977459119496855,9133.539999999999,1533.5213659999997,7600.018633999999,0.0,0.0,1.0
39044.3,11,11.72,634.0,49000,60,0.7968224489795919,3253.691666666667,381.3326633333334,2872.3590033333335,1.0,0.0,0.0
51830.06,8,23.86,685.0,26100,36,1.9858260536398467,4319.171666666666,1030.5543596666666,3288.6173069999995,1.0,0.0,0.0
39771.29,28,16.03,769.0,1500,60,26.514193333333335,3314.2741666666666,531.2781489166666,2782.9960177499997,1.0,0.0,0.0
73139.07,1,14.64,652.0,38900,36,1.8801817480719796,6094.922500000001,892.2966540000001,5202.625846000001,0.0,0.0,1.0
58072.72,24,20.35,716.0,7100,36,8.17925633802817,4839.393333333333,984.8165433333335,3854.57679,1.0,0.0,0.0
